feature_family,physical_process,precedent_source,evidence_status,measurement_or_computation,proposed_representation,validation_target,primary_failure_mode,implementation_tier
"permeant-induced membrane remodeling","coupled ligand-environment response","Qi 2025","directly supported for tetracycline","local thickness; curvature; water defects; lipid H bonds; deformation field","coupled local CVs and deformation work","patch-size sensitivity and permeability","small boxes suppress deformation; large boxes introduce hysteresis",2
"primitive disposition properties","distribution and elimination processes","Mavroudis 2023","established hybrid-model inputs","fu; blood-plasma ratio; CLint; uptake; tissue partition; renal filtration","separate latent process nodes with assay-specific observation models","rat IV profiles and external exposure curves","derived CL or Vdss is reused as if independently predicted",1
"compartmental mass-balance parameters","mapping process rates to concentration-time curves","Mavroudis 2023","established","one-compartment and PBPK differential equations","posterior distributions over rates conditioned on raw profiles","time-resolved residuals, AUC, Cmax, half-life","good summary endpoints conceal wrong time-course mechanism",1
"hERG cavity pharmacophore","initial cavity recognition and block","Miyashita 2024; Sun 2026","structural precedent plus broad statistical association","cation center; aromatic groups; distances to S624/Y652/T623/S649/F656","pose-ensemble interaction occupancies across protonation states","state- and protocol-specific IC50/kinetics","generic cation-aromatic pattern is treated as sufficient",1
"receptor side-chain symmetry breaking","induced fit and pose-specific stabilization","Miyashita 2024","directly observed in a few structures","Y652 rotamers; F656 displacement; ligand pose multiplicity","receptor-ligand joint state graph","mutagenesis and ligand-series changes","single rigid structure erases alternate states",2
"selectivity-filter state","potassium-dependent channel availability","Lau 2024","directly observed and simulated","K occupancy; V625 carbonyl flips; S620 stabilization; C1/C4 state","filter-state ensemble conditioned on K, voltage, and gating state","state-dependent binding/block and electrophysiology","one apo receptor state is assumed universal",2
"binding thermodynamics","equilibrium stabilization of receptor-ligand states","Miyashita 2024","poses observed; rigorous free energy not reported","alchemical or path-based free energies over receptor/microstate ensemble","Boltzmann-weighted affinity with state uncertainty","matched equilibrium potency data","docking score is mistaken for free energy",3
"binding and unbinding kinetics","onset, trapping, and recovery from hERG block","structural papers motivate; not directly resolved","proposed gap","weighted-ensemble, milestoning, metadynamics, electrophysiology kinetics","kon, koff, residence time, access pathway, trapped fraction by channel state","time-dependent block and washout","IC50 alone conflates affinity, access, and protocol",3
"applicability and novelty distance","whether evidence transfers to large molecules","Sun 2026 workbook audit","directly required by current data mismatch","scaffold splits; temporal splits; nearest-neighbor similarity; MW/shape strata","domain labels and uncertainty inflation by mechanism and chemical distance","prospective large-molecule errors","random split performance is extrapolated out of domain",0
"reactive-flux-weighted exposed polarity","whether polarity-shielded states actually carry productive membrane flux","Rossi Sebastiano 2018; Witek 2017; Kamenik 2023; Qi 2025; Matsson 2025","proposed project coupling; components have precedent but exact PK/hERG feature not located","transition-path flux times path-conditioned polar exposure","sum over reactive paths of normalized flux times exposed polarity with uncertainty","pH- and environment-dependent permeability plus matched transition kinetics","an arbitrary low-tail conformer is mistaken for a flux-carrying state",3
"conformational-gating time","kinetic accessibility of transport- or binding-competent basins","Witek 2017; Kamenik 2023; NMR kinetic ensembles","direct rate precedent in cyclic peptides; proposed extension to internal large molecules","basin transition matrix; MFPT; committor; spectral gap","environment-specific MFPT and activation barrier from aqueous to productive state","NMR exchange and membrane/receptor transition kinetics","static entropy or compact-state population is treated as a rate",3
"interfacial-trapping decomposition","distinguish entry core-crossing and receiving-phase release","Qi 2025; Matsson 2025","direct membrane-profile precedent; project-specific causal feature contract","interface well depth; barriers toward core and water; D(z); orientation","limiting barrier identity and magnitude rather than one lipophilicity/SASA score","membrane binding passive permeability desorption and recovery","favorable partition is misread as favorable translocation",2
"charge-gated access and binding","neutral or shielded access state converts locally to a hERG-binding state","Qi 2025; Harris 2024; Miyashita 2024; dynamic hERG 2024/2025","potentially novel cross-process hypothesis; no exact integrated precedent located","microstate exchange rates; membrane residence; state-specific hERG kon/koff","probability of access-state to binding-state conversion within local residence time","pH-dependent free-concentration hERG onset/recovery plus membrane partition","bulk mean charge is treated as both access and affinity",3
"protocol-integrated hERG occupancy/trapping burden","translate receptor/channel-state kinetics into observed block","Escobar 2024; automated hERG 2025; Miyashita 2024; Lau 2024","dynamic hERG modeling established; proposed coupling to large-molecule membrane access and PK exposure","channel-state CTMC; ligand access; kon/koff; trapping; voltage protocol; free concentration","time-integrated bound and trapped occupancy with mechanistic uncertainty","onset washout trapping and concentration-response under multiple protocols","IC50 is treated as a protocol-independent affinity",3
"ETR and experimental exposed polarity","environment-sensitive apparent polarity relative to a 2D maximum-polarity proxy","Price 2024; Le Manach 2026","industrial-scale association but cross-portfolio direction failed","EPSA/TPSA with assay protocol and portfolio stratum","external comparator and experimental validation target only; never assumed to identify a unique mechanism","internal matched pairs and prospective absorption with protocol metadata","ratio conflates shielding IMHB assay chemistry TPSA error and faFg derivation",0
"site-resolved exposed HBD and HBA","local donor/acceptor solvation and shielding in aqueous versus apolar environments","Schade 2024","NMR and matched-edit intervention evidence in oral PROTACs","vt-NMR and HBD-acidity NMR by atom site; separate donor and acceptor states","site exposure probabilities and exchange linked to the compensating interaction","solvent-dependent NMR EPSA permeability and PK matched edits","eHBD threshold is transferred as a universal constant or donors and acceptors are collapsed",1
"local shielding without global compaction","steric or IMHB shielding can occur in an extended transport-competent conformation","Schade 2024","direct structural/NMR counterexample to compactness as a necessary mechanism","joint local exposure contact network Rg and end-to-end basin","condition local desolvation compensation on path state without requiring low Rg","NMR conformers environment MD and matched oral/permeability series","low-tail Rg is mistaken for the causal transport feature",2
"enterocyte fate competition and recycling","competition among basolateral escape apical efflux re-entry sequestration and gut metabolism","Di and Kerns 2008; Le Manach 2026","barrier coupling established and efflux association externally observed; exact latent parameterization proposed","bidirectional flux recovery inhibitor response concentration series and enterocyte stability","absorbing-state probabilities expected recycle count and cumulative intracellular residence time","joint reproduction of AB/BA recovery inhibitor and oral matched-pair direction","efflux ratio is treated as a universal molecular descriptor or passive permeability alone",2
