record_id,domain,asset,why_needed,availability,status,priority,next_action
poongavanam_2022_jmedchem,PK,"raw NMR peak intensities, spectra, and NAMFIS conformer coordinates","propagate conformational-population uncertainty rather than accepting point ensembles","selected spectra are pictured; machine-readable data absent",missing,high,"request machine-readable NMR/NAMFIS outputs"
poongavanam_2022_jmedchem,PK,"MD starting systems, parameters, trajectories, and analysis scripts","recompute folding kinetics, state populations, and solvent sensitivity","not attached",missing,critical,"request simulation archive or reproduce prospectively with preregistered settings"
poongavanam_2022_jmedchem,PK,"replicate-level permeability and binding measurements","separate experimental variance from three-compound structure trends","only means and SEM values attached",missing,high,"request individual replicates and assay acceptance criteria"
poongavanam_2022_jmedchem,PK,"larger matched PROTAC/linker series","test whether exposed-polarity and folding mechanisms generalize","not part of this paper",missing,critical,"assemble multiple series with consistent Caco-2/PAMPA protocols"
qi_2025_jpcb,PK,"raw PMF and diffusivity profiles with window-level uncertainty","recalculate permeability and diagnose hysteresis quantitatively","not attached",missing,critical,"request numeric profiles and per-window convergence histories"
qi_2025_jpcb,PK,"prepared membrane systems, force-field files, simulation inputs, trajectories, and analysis code","reproduce microstate and patch-size conclusions","not attached",missing,critical,"request complete reproducibility archive"
qi_2025_jpcb,PK,"experimental microscopic pKa measurements for tetracycline microstates","reduce orders-of-magnitude uncertainty in rare-neutral-state weighting","estimated from analog compounds",missing,critical,"seek direct microstate-resolved measurements or calibrated constant-pH calculations"
qi_2025_jpcb,PK,"additional bRo5 molecules with matched simulation and permeability assays","establish whether rare neutral states and membrane remodeling generalize","not supplied",missing,critical,"design a prospective panel spanning ionization, H-bonding, size, and flexibility"
kim_2025_jcim_5c01600,PK,"32-degrader metadynamics/3D-descriptor package","test broader degrader folding/permeability mechanisms and reproduce the descriptor layer","SI and a 32-compound PDF dataset acquired; article, original DOCX/CSV, assay replicates/protocols, split files, systems, trajectories, conformer ensembles, descriptor code, and fitted models remain absent",partial,high,"obtain the article and request the original machine-readable dataset plus complete simulation/model reproducibility package"
etr_2025_jmedchem_5c00536,PK,"ETR/chameleonicity package","compare experimentally anchored chameleonic response with fast-physics hypotheses","four-page figure-only SI acquired; article, ETR definition/protocol, compound-level structures/labels/predictions, splits, MD inputs/trajectories, and code remain absent",partial,high,"obtain the article and row-level supporting data before attempting reproduction or defining a local ETR endpoint"
dynamic_herg_2024_108293,hERG,"experimentally validated dynamic drug-hERG Markov article, protocols, and data","constrain onset/recovery/trapping architecture with protocol-compatible observations","DOI 10.1016/j.cmpb.2024.108293; PubMed 38936153",missing,critical,"obtain article and machine-readable voltage/concentration/time data"
automated_herg_2025_107686,hERG,"automated state-dependent hERG protocol article and supplements","define reproducible onset/recovery/trapping acquisition and automated analysis","DOI 10.1016/j.vascn.2025.107686",missing,critical,"obtain article, protocol scripts, validation compounds, and raw traces"
closed_state_herg_2026_719540,hERG,"AI-derived closed-state hERG preprint and model assets","watchlist comparison for closed-state hypotheses; not validated structural truth","preprint DOI 10.64898/2026.04.20.719540",watchlist,medium,"track revisions and independent validation; do not promote into core receptor ensemble"
matsson_2025_protac_membrane,PK,"CC-BY article two supporting-information files and machine-readable compound tables","reproduce interface-trapping core-barrier orientation and polarity-compensation analyses","DOI 10.1021/acs.jmedchem.5c01499; openly licensed article identified",not_local,high,"acquire the open package before quantitative reproduction; the present audit uses published primary evidence only"
tyagi_2026_macrocycle_pairs,PK,"article CSV SI PDF SI and matched conformational records","test compactness polarity H-bond shielding and linear-versus-macrocycle counterexamples","DOI 10.1021/acs.jmedchem.6c00830; public supplements identified",not_local,high,"acquire package when the HPC/matched-pair phase begins"
brenner_2026_protac_assays,PK,"3271-PROTAC assay records protocols censoring and replicate metadata","build the observation model and determine assay transferability before pooling permeability labels","DOI 10.1021/acs.molpharmaceut.5c01908; article identified",missing,high,"obtain machine-readable assay package if released or request it from authors"
witek_2017_cyclosporine_rates,PK,"NMR exchange observables MD state definitions transition matrices and permeability replicates","validate conformational-transition features rather than static diversity counts","DOI 10.1002/cphc.201700995",missing,medium,"use as an external kinetic benchmark during the HPC transition-network phase"
price_2024_polarity_reducers,PK,"supporting information row-level structures EPSA replicates rodent study records and faFg derivation uncertainty","reproduce ETR thresholds and separate measurement error portfolio effects and causal mechanisms","article supplied; proprietary internal data and SI not local",missing,high,"obtain SI now if licensed and request a de-identified row-level reproduction package; do not transfer ETR cutoffs meanwhile"
schade_2024_oral_protacs,PK,"supporting information NMR peak tables spectra conformer ensembles raw PK profiles formulation details and per-animal data","quantify site-specific HBD shielding species/formulation variability and structural-population uncertainty","article supplied; SI and raw proprietary evidence not local",missing,critical,"obtain public SI and request machine-readable NMR/PK evidence from Dr. Aguilar or authors"
lemanach_2026_oral_guidelines,PK,"open article PDF SI PDF and public XLSX with 68 PROTAC/reference records","reproduce the cross-portfolio failure of ETR and test efflux competition without relying on an abstract","DOI 10.1021/acsmedchemlett.6c00043; public assets identified",not_local,critical,"acquire and QC the open package before finalizing transporter-recycling pilot selection"
