rank,dataset_key,task_scope,evidence_domain,endpoint,assay_family,label_kind,rows,molecules,proteins,sources,integrated,molecule_split,scaffold_split,pilot_score,decision,limitations
11,derived_sensitivity::sensitivity__binding__standard_binding_free_energy__other_bioactivity__kcal_mol__continuous_exact,derived_sensitivity,binding,standard_binding_free_energy,other_bioactivity,continuous_exact,5458,3602,242,1,true,true,true,36,defer,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; derived transform is not independent evidence; both molecule and scaffold candidates materialized; source holdout impossible
12,default::default__binding__ec50__binding__nm__continuous_censored,default,binding,EC50,binding,continuous_censored,19345,14392,736,1,true,true,true,27,defer,integrated fixed-split corpus; requires a censoring-aware loss; both molecule and scaffold candidates materialized; source holdout impossible
13,default::default__binding__ki__other_bioactivity__nm__continuous_censored,default,binding,Ki,other_bioactivity,continuous_censored,74298,3227,326,1,true,true,true,27,defer,integrated fixed-split corpus; requires a censoring-aware loss; both molecule and scaffold candidates materialized; source holdout impossible
14,derived_sensitivity::sensitivity__binding__standard_binding_free_energy__binding__kcal_mol__continuous_exact,derived_sensitivity,binding,standard_binding_free_energy,binding,continuous_exact,62334,25573,3610,1,true,true,false,27,defer,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; derived transform is not independent evidence; source holdout impossible
15,default::default__binding__ic50__binding__nm__continuous_censored,default,binding,IC50,binding,continuous_censored,275666,172250,3384,1,true,true,false,25,defer,integrated fixed-split corpus; requires a censoring-aware loss; endpoint-specific IC50 task; source holdout impossible
16,default::default__other__ic50__other_bioactivity__nm__continuous_censored,default,other,IC50,other_bioactivity,continuous_censored,57001,32110,875,1,true,true,false,25,defer,integrated fixed-split corpus; requires a censoring-aware loss; endpoint-specific IC50 task; source holdout impossible
17,default::default__binding__kd__other_bioactivity__nm__continuous_censored,default,binding,Kd,other_bioactivity,continuous_censored,360,287,62,1,true,true,true,22,defer,integrated fixed-split corpus; requires a censoring-aware loss; both molecule and scaffold candidates materialized; source holdout impossible
18,default::default__binding__kd__binding__nm__continuous_censored,default,binding,Kd,binding,continuous_censored,95999,5016,842,1,true,true,false,17,defer,integrated fixed-split corpus; requires a censoring-aware loss; source holdout impossible
19,default::default__binding__ki__binding__nm__continuous_censored,default,binding,Ki,binding,continuous_censored,59314,36298,1204,1,true,true,false,17,defer,integrated fixed-split corpus; requires a censoring-aware loss; source holdout impossible
20,default::default__other__ec50__other_bioactivity__nm__continuous_censored,default,other,EC50,other_bioactivity,continuous_censored,21736,15457,422,1,true,true,false,17,defer,integrated fixed-split corpus; requires a censoring-aware loss; source holdout impossible
21,default::default__binding__ki__pk_adme__nm__continuous_exact,default,binding,Ki,pk_adme,continuous_exact,15,15,1,1,true,true,false,7,insufficient_support_or_not_integrated,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
22,derived_sensitivity::sensitivity__herg__standard_binding_free_energy__herg_other__kcal_mol__continuous_exact,derived_sensitivity,herg,standard_binding_free_energy,herg_other,continuous_exact,44,44,1,1,true,true,true,-3,insufficient_support_or_not_integrated,integrated fixed-split corpus; exact continuous endpoint; no censoring model required; derived transform is not independent evidence; fewer than 100 observations; both molecule and scaffold candidates materialized; source holdout impossible; cross-protein claim impossible
23,default::default__binding__ic50__pk_adme__nm__continuous_exact,default,binding,IC50,pk_adme,continuous_exact,1,1,1,1,false,false,false,-5,insufficient_support_or_not_integrated,exact continuous endpoint; no censoring model required; endpoint-specific IC50 task; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
24,default::default__herg__ic50__herg_functional__nm__continuous_censored,default,herg,IC50,herg_functional,continuous_censored,8,8,1,1,false,false,false,-10,insufficient_support_or_not_integrated,requires a censoring-aware loss; narrow safety-relevant hERG functional domain; endpoint-specific IC50 task; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
25,default::default__binding__ec50__pk_adme__nm__continuous_exact,default,binding,EC50,pk_adme,continuous_exact,4,4,1,1,false,false,false,-13,insufficient_support_or_not_integrated,exact continuous endpoint; no censoring model required; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
26,default::default__binding__kd__pk_adme__nm__continuous_exact,default,binding,Kd,pk_adme,continuous_exact,2,2,1,1,false,false,false,-13,insufficient_support_or_not_integrated,exact continuous endpoint; no censoring model required; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
27,derived_sensitivity::sensitivity__binding__standard_binding_free_energy__pk_adme__kcal_mol__continuous_exact,derived_sensitivity,binding,standard_binding_free_energy,pk_adme,continuous_exact,2,2,1,1,false,false,false,-33,insufficient_support_or_not_integrated,exact continuous endpoint; no censoring model required; derived transform is not independent evidence; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
28,derived_sensitivity::sensitivity__herg__standard_binding_free_energy__herg_binding__kcal_mol__continuous_exact,derived_sensitivity,herg,standard_binding_free_energy,herg_binding,continuous_exact,1,1,1,1,false,false,false,-33,insufficient_support_or_not_integrated,exact continuous endpoint; no censoring model required; derived transform is not independent evidence; fewer than 100 observations; source holdout impossible; cross-protein claim impossible
