table,field_name,definition,dtype,unit,allowed_values,missing_convention,origin,source_lineage,roles,expected_range,transformation,leakage_class
observations,relation,Exact/censored/approximate qualifier.,category,not applicable,<|<=|=|>|>=|interval|not_reported|~,blank/NA means not reported or not applicable; never imputed,calculated,source relation and value fields,target,source-defined or controlled vocabulary,Unicode/alias normalization or leading value qualifier extraction,target
observations,result_status,Registry/result/regulatory evidence status.,category,not applicable,not_applicable|not_reported|pending|reported|terminated|withdrawn,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,grouping_variable,source-defined or controlled vocabulary,versioned deterministic classification/review rule,safe_group
observations,snapshot_id,Snapshot identity or semicolon-delimited mirror snapshots.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
observations,source_id,Source identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
observations,source_record_id,Unmodified source record identity.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
observations,unit_conversion_status,"converted, identity, missing, or unsupported.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,"endpoint, value and unit",metadata_only,source-defined or controlled vocabulary,deterministic conversion result classification,metadata
observations,upper_bound,Canonical upper bound; NA means unbounded/unknown.,float,canonical_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,canonical_value and relation,target,finite or NA for unbounded; upper >= lower when both present,relation-preserving canonical bound; no midpoint or cap imputation,target
observations,value_numeric,Parsed number in the original unit.,float,original_unit per row,,blank/NA means not reported or not applicable; never imputed,calculated,value_raw,target,finite; endpoint-specific sign/range QC,finite numeric-token parsing from value_raw,target
observations,value_provenance,Source field/formula used for the value.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source value fields and transformation log,metadata_only,source-defined or controlled vocabulary,deterministic source-field/formula lineage annotation,metadata
observations,value_raw,Unmodified source value text.,string,source-defined per row,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,target,source-defined or controlled vocabulary,none,target
protein_constructs,construct_description,Source construct/mutation description.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
protein_constructs,construct_id,Stable identity of an exact source-reported construct sequence.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source-reported construct,identifier,source-defined or controlled vocabulary,versioned SHA-256 over protein identity and exact sequence/construct annotation,metadata
protein_constructs,protein_id,Parent canonical protein identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source target assertion and explicit accession mapping,identifier,source-defined or controlled vocabulary,versioned SHA-256 over accession-aware protein or complex identity,metadata
protein_constructs,quality_status,Sequence validation status.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
protein_constructs,sequence,Normalized exact source-reported sequence.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,feature_candidate,source-defined or controlled vocabulary,none,metadata
protein_constructs,sequence_sha256,SHA-256 of sequence bytes.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source-reported sequence,metadata_only,source-defined or controlled vocabulary,SHA-256 over uppercase whitespace-free amino-acid sequence,metadata
protein_constructs,source_id,Source reporting the construct.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
protein_constructs,source_record_id,Source target/assay/record identifier.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
proteins,canonical_target_id,Preferred accession or explicit source target identity.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,identifier,source-defined or controlled vocabulary,none,metadata
proteins,component_protein_ids,Sorted complex component identities.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source target components,metadata_only,source-defined or controlled vocabulary,sorted semicolon join of resolved component protein identifiers,metadata
proteins,entity_type,single_protein or protein_complex.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
proteins,gene_symbol,Source-supported gene symbol.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
proteins,identity_resolution_status,"resolved, source_assertion, complex, or conflicting.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
proteins,isoform,Explicit isoform annotation.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
proteins,protein_id,Stable canonical protein or protein-complex identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source target assertion and explicit accession mapping,identifier,source-defined or controlled vocabulary,versioned SHA-256 over accession-aware protein or complex identity,metadata
proteins,sequence,Source-reported exact sequence only.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,feature_candidate,source-defined or controlled vocabulary,none,metadata
proteins,sequence_sha256,SHA-256 of the normalized exact sequence.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source-reported sequence,metadata_only,source-defined or controlled vocabulary,SHA-256 over uppercase whitespace-free amino-acid sequence,metadata
proteins,species,Source-reported organism.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
proteins,target_name,Source-supported target name.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
proteins,uniprot_accession,UniProt accession; multiple components are semicolon-delimited.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
source_files,immutability_status,Hash verification state.,category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
source_files,media_type,Portable media type.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,raw snapshot file,metadata_only,source-defined or controlled vocabulary,MIME inference from the preserved filename suffix,metadata
source_files,origin_path,Original project-relative path when locally snapshotted.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
source_files,relative_path,Portable path relative to the platform raw root.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
source_files,row_count,Parsed data-row count where applicable.,integer,rows,,blank/NA means not reported or not applicable; never imputed,calculated,raw snapshot file,metadata_only,integer >= 0,parsed physical data-line count excluding the header,metadata
source_files,sha256,SHA-256 of unchanged bytes.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,raw snapshot bytes,metadata_only,source-defined or controlled vocabulary,SHA-256 over unchanged file bytes,metadata
source_files,size_bytes,File byte size.,integer,bytes,,blank/NA means not reported or not applicable; never imputed,calculated,raw snapshot file,metadata_only,integer >= 0,filesystem byte count after hash-stable read,metadata
source_files,snapshot_id,Parent snapshot identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
source_files,source_file_id,Content-derived source-file identifier.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,raw snapshot bytes,identifier,source-defined or controlled vocabulary,versioned SHA-256 over raw-file content SHA-256,metadata
source_files,source_id,Parent source identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
sources,access_class,Access axis independent of quality.,category,not applicable,confidential|licensed|public_access_restricted|public_redistributable|unknown,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
sources,citation,Preferred source citation.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,license_name,Reported source license name.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,license_status,Verification state of redistribution terms.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
sources,license_url,Authoritative license URL.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,observed,unaltered or whitespace-normalized source field,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,limitations,Known source/snapshot limitations.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
sources,query_json,Canonical JSON query/scope specification.,json,not applicable,,blank/NA means not reported or not applicable; never imputed,calculated,source query/snapshot configuration,metadata_only,source-defined or controlled vocabulary,canonical JSON serialization with sorted keys,metadata
sources,redistribution_status,Whether the snapshot may be redistributed.,string,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
sources,retrieval_date_utc,UTC retrieval or local snapshot date.,datetime,not applicable,,blank/NA means not reported or not applicable; never imputed,externally_annotated,authoritative source/release/rights metadata,metadata_only,source-defined or controlled vocabulary,none,metadata
sources,retrieval_status,"complete, partial, unavailable, or local_snapshot.",category,not applicable,,blank/NA means not reported or not applicable; never imputed,inferred,source metadata plus versioned platform policy,metadata_only,source-defined or controlled vocabulary,versioned deterministic classification/review rule,metadata
sources,snapshot_id,Stable identity for one immutable retrieval snapshot.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,snapshot manifest,identifier,source-defined or controlled vocabulary,versioned SHA-256 over source release and immutable query/snapshot scope,metadata
sources,source_id,Stable source/version identity.,string,not applicable,,not permitted for the entity/assertion represented by this table,calculated,source/release metadata,identifier,source-defined or controlled vocabulary,versioned SHA-256 over authoritative source name and release,metadata
